NIR;FWI;DataAlerta;NIRAnt;AAAnt;FWIAnt
50;6.221483572;10-06-2001;17;1.5414;4.975449938
56;9.001170894;11-06-2001;50;18.342;6.221483572
70;12.12981643;12-06-2001;56;37.6803;9.001170894
83;13.04713202;13-06-2001;70;76.985;12.12981643
71;15.74013926;14-06-2001;83;52.9951;13.04713202
73;17.0268468;15-06-2001;71;126.1786;15.74013926
61;18.74570585;16-06-2001;73;31.4003;17.0268468
117;18.7127795;17-06-2001;61;144.9877;18.74570585
211;27.32803649;18-06-2001;117;397.7366;18.7127795
266;26.63305219;19-06-2001;211;442.8946;27.32803649
264;26.84123644;20-06-2001;266;607.6037;26.63305219
238;27.53593995;21-06-2001;264;3124.2731;26.84123644
189;27.23467745;22-06-2001;238;701.3907;27.53593995
234;26.01650232;23-06-2001;189;524.3268;27.23467745
329;21.1298557;24-06-2001;234;294.5315;26.01650232
190;24.38143368;25-06-2001;329;522.5871;21.1298557
163;19.97583505;26-06-2001;190;591.9196;24.38143368
142;16.01979892;27-06-2001;163;113.1877;19.97583505
188;18.25713721;28-06-2001;142;359.73;16.01979892
176;23.35510973;29-06-2001;188;272.5713;18.25713721
250;24.52016759;30-06-2001;176;306.4675;23.35510973
420;26.7829602;01-07-2001;250;345.0609;24.52016759
269;24.29074155;02-07-2001;420;2299.6507;26.7829602
268;25.47112163;03-07-2001;269;898.191;24.29074155
167;32.40789825;04-07-2001;268;1374.7603;25.47112163
27;23.38852215;05-07-2001;167;462.1628;32.40789825
37;20.21537023;06-07-2001;27;68.0311;23.38852215
42;13.2562465;07-07-2001;37;39.1358;20.21537023
74;14.870095;08-07-2001;42;26.2209;13.2562465
36;8.867183432;09-07-2001;74;20.6622;14.870095
90;10.23285092;10-07-2001;36;76.1305;8.867183432
184;24.52355984;11-07-2001;90;60.519;10.23285092
176;23.64701794;12-07-2001;184;1440.1897;24.52355984
113;25.62132393;13-07-2001;176;1864.9354;23.64701794
33;20.33698318;14-07-2001;113;247.4801;25.62132393
47;21.42025529;15-07-2001;33;25.4496;20.33698318
63;23.24660416;16-07-2001;47;79.3913;21.42025529
48;23.61248016;17-07-2001;63;32.7616;23.24660416
73;27.52319156;18-07-2001;48;317.9552;23.61248016
68;26.2087273;19-07-2001;73;186.0396;27.52319156
111;22.48715109;20-07-2001;68;174.9533;26.2087273
139;23.05784319;21-07-2001;111;316.4344;22.48715109
182;22.71898069;22-07-2001;139;555.4775;23.05784319
159;19.22830499;23-07-2001;182;396.3915;22.71898069
121;17.52402652;24-07-2001;159;2379.8792;19.22830499
157;19.4628245;25-07-2001;121;139.1648;17.52402652
126;16.34962898;26-07-2001;157;210.8065;19.4628245
132;16.77399594;27-07-2001;126;109.0921;16.34962898
191;16.82717153;28-07-2001;132;153.7967;16.77399594
291;19.37631061;29-07-2001;191;380.0653;16.82717153
84;26.54498084;30-07-2001;291;305.1034;19.37631061
77;12.44751714;31-07-2001;84;283.7009;26.54498084
56;15.67839089;01-08-2001;77;3527.7475;12.44751714
44;11.35718631;02-08-2001;56;122.7651;15.67839089
88;21.23248196;03-08-2001;44;28.8468;11.35718631
120;28.95156275;04-08-2001;88;356.0579;21.23248196
178;32.51877531;05-08-2001;120;645.51212;28.95156275
271;24.98288752;06-08-2001;178;2003.0654;32.51877531
275;26.79533477;07-08-2001;271;3214.886;24.98288752
230;20.25596488;08-08-2001;275;3286.6697;26.79533477
277;21.04384682;09-08-2001;230;2340.4213;20.25596488
401;22.12687536;10-08-2001;277;713.8376;21.04384682
521;22.39350754;11-08-2001;401;1709.1205;22.12687536
454;20.49712677;12-08-2001;521;1861.5729;22.39350754
376;21.57033626;13-08-2001;454;2475.5654;20.49712677
292;20.35755575;14-08-2001;376;843.8587;21.57033626
154;21.26984869;15-08-2001;292;1695.3693;20.35755575
200;15.04348158;16-08-2001;154;253.5009;21.26984869
212;18.11670154;17-08-2001;200;244.0163;15.04348158
75;16.46190486;18-08-2001;212;2298.9122;18.11670154
78;19.9075205;19-08-2001;75;76.0983;16.46190486
